utm_content,Less than 15,Less than 15 %,15-30,15-30 %,30-100,30-100 %,More than 100,More than 100 %,Total,Total %
(no utm_content),196,57.8%,48,57.8%,12,75.0%,5,62.5%,264,59.2%
prospecting_web_lal-existing-customers-conv_b2bconv-ADV[12.3.2026],32,9.4%,11,13.3%,1,6.2%,3,37.5%,47,10.5%
prospecting_web__lal-b2b-conv_b2bconv[24.2.26],24,7.1%,6,7.2%,1,6.2%,0,0.0%,31,7.0%
prospecting_web__lal-existing-customers-conv_b2bconv[2.3.26],20,5.9%,4,4.8%,1,6.2%,0,0.0%,25,5.6%
prospecting_web_lal-b2b-conv_b2bconv_UK[10.3.2026],19,5.6%,5,6.0%,0,0.0%,0,0.0%,24,5.4%
prospecting_web_broad_broad_auto_BusinessAngles-UK-Offices-Joel-b2bconv[5.1.26],8,2.4%,3,3.6%,0,0.0%,0,0.0%,11,2.5%
prospecting_web_lal-existing-customers-conv_b2bconv-RVR[23.3.26],9,2.7%,0,0.0%,0,0.0%,0,0.0%,9,2.0%
prospecting_web_lal-existing-customers-conv_b2bconv-ADV_noJoel[23.3.2025],6,1.8%,0,0.0%,0,0.0%,0,0.0%,6,1.3%
prospecting_web_broad_broad_auto_UKNursery-ZZ-Ofer[25.1.26],4,1.2%,0,0.0%,0,0.0%,0,0.0%,4,0.9%
prospecting_web_interests_auto_BusinessAngles-Offices-Joel-b2bconv[5.1.26],4,1.2%,0,0.0%,0,0.0%,0,0.0%,4,0.9%
prospecting_web_broad_broad_auto_employeegift_b2bconv[28.11.25],3,0.9%,0,0.0%,0,0.0%,0,0.0%,3,0.7%
hero,2,0.6%,0,0.0%,0,0.0%,0,0.0%,2,0.4%
HighROAS,2,0.6%,0,0.0%,0,0.0%,0,0.0%,2,0.4%
prospecting_web_broad_broad_auto_KfarModerationBetter[17.5.25],1,0.3%,0,0.0%,0,0.0%,0,0.0%,1,0.2%
Brand_Houseplants,1,0.3%,0,0.0%,0,0.0%,0,0.0%,1,0.2%
prospecting_web_broad_broad_auto_SalVO-MentalPet-Ofer[4.10.2025],1,0.3%,0,0.0%,0,0.0%,0,0.0%,1,0.2%
easyplant.com,0,0.0%,1,1.2%,0,0.0%,0,0.0%,1,0.2%
Self_Water_Houseplants,0,0.0%,1,1.2%,0,0.0%,0,0.0%,1,0.2%
prospecting_web_broad_broad_auto_UnwrappingSequence-Nikita[27.9.25],1,0.3%,0,0.0%,0,0.0%,0,0.0%,1,0.2%
House_Plants_Exact,0,0.0%,1,1.2%,0,0.0%,0,0.0%,1,0.2%
prospecting_web_broad_broad_auto_PlantSpotlight-Snakeplant-OferVersion[28.2.26],1,0.3%,0,0.0%,0,0.0%,0,0.0%,1,0.2%
prospecting_web_broad_broad_auto_VillaMay-ASMR-Ofer[6.9.2025],1,0.3%,0,0.0%,0,0.0%,0,0.0%,1,0.2%
Easyplant,1,0.3%,0,0.0%,0,0.0%,0,0.0%,1,0.2%
Plant_Pet_Friendly,0,0.0%,1,1.2%,0,0.0%,0,0.0%,1,0.2%
prospecting_web_broad_broad_auto_Bakery-Joel[12.12.25],0,0.0%,1,1.2%,0,0.0%,0,0.0%,1,0.2%
Office_Work,1,0.3%,0,0.0%,0,0.0%,0,0.0%,1,0.2%
Self_Water_Pot_House,0,0.0%,1,1.2%,0,0.0%,0,0.0%,1,0.2%
prospecting_web_broad_broad_auto_prospecting_web_broad_broad_auto_UkNursery-ZZ-Ofer-1DC[10.2.26],0,0.0%,0,0.0%,1,6.2%,0,0.0%,1,0.2%
Indoor_Plants_Exact,1,0.3%,0,0.0%,0,0.0%,0,0.0%,1,0.2%
MidROAS,1,0.3%,0,0.0%,0,0.0%,0,0.0%,1,0.2%
